DataCode,RecType,RecYear,BirthYear,Age,NumofFemale,NumofMale
CBH01,1,2000,2000,0.5,24,35
CBH01,1,2000,1999,1,16,11
CBH01,1,2000,1998,2,19,2
CBH01,1,2000,1997,3,11,4
CBH01,1,2000,1996,4,9,3
CBH01,1,2000,1995,5,5,2
CBH01,1,2000,1994,6,4,0
CBH01,1,2000,1993,7,2,1
CBH01,1,2000,1992,8,1,1
CBH01,1,2000,1991,9,7,1
CBH01,1,2000,1990,10,5,0
CBH01,1,2000,1989,11,7,0
CBH01,1,2000,1988,12,6,0
CBH01,1,2000,1987,13,6,0
CBH01,1,2000,1986,14,2,0
CBH01,1,2000,1985,15,1,0
CBH01,1,2000,1984,16,3,0
CBH01,1,2000,1983,17,1,0
CBH01,1,2000,,,28,0
CBH01,1,2000,,,157,60
CBH01,1,2001,2001,0.5,34,33
CBH01,1,2001,2000,1,26,5
CBH01,1,2001,1999,2,19,9
CBH01,1,2001,1998,3,19,2
CBH01,1,2001,1997,4,11,4
CBH01,1,2001,1996,5,8,3
CBH01,1,2001,1995,6,5,2
CBH01,1,2001,1994,7,4,0
CBH01,1,2001,1993,8,2,0
CBH01,1,2001,1992,9,1,0
CBH01,1,2001,1991,10,7,0
CBH01,1,2001,1990,11,5,0
CBH01,1,2001,1989,12,7,0
CBH01,1,2001,1988,13,6,0
CBH01,1,2001,1987,14,4,0
CBH01,1,2001,1986,15,1,0
CBH01,1,2001,1985,16,1,0
CBH01,1,2001,1984,17,2,0
CBH01,1,2001,1983,18,1,0
CBH01,1,2001,,,25,0
CBH01,1,2001,,,9,5
CBH01,1,2001,,,197,63
CBH01,1,2002,2002,0.5,42,43
CBH01,1,2002,2001,1,18,9
CBH01,1,2002,2000,2,19,5
CBH01,1,2002,1999,3,15,9
CBH01,1,2002,1998,4,16,2
CBH01,1,2002,1997,5,10,5
CBH01,1,2002,1996,6,6,2
CBH01,1,2002,1995,7,4,0
CBH01,1,2002,1994,8,4,0
CBH01,1,2002,1993,9,2,0
CBH01,1,2002,1992,10,1,0
CBH01,1,2002,1991,11,7,0
CBH01,1,2002,1990,12,5,0
CBH01,1,2002,1989,13,3,0
CBH01,1,2002,1988,14,6,0
CBH01,1,2002,1987,15,4,0
CBH01,1,2002,1986,16,1,0
CBH01,1,2002,1985,17,1,0
CBH01,1,2002,1984,18,2,0
CBH01,1,2002,1983,19,1,0
CBH01,1,2002,,,23,0
CBH01,1,2002,,,6,3
CBH01,1,2002,,,196,78
CBH01,1,2003,2003,0.5,49,49
CBH01,1,2003,2002,1,18,25
CBH01,1,2003,2001,2,9,7
CBH01,1,2003,2000,3,16,5
CBH01,1,2003,1999,4,12,9
CBH01,1,2003,1998,5,15,2
CBH01,1,2003,1997,6,10,5
CBH01,1,2003,1996,7,5,2
CBH01,1,2003,1995,8,4,0
CBH01,1,2003,1994,9,4,0
CBH01,1,2003,1993,10,2,0
CBH01,1,2003,1992,11,1,0
CBH01,1,2003,1991,12,7,0
CBH01,1,2003,1990,13,5,0
CBH01,1,2003,1989,14,3,0
CBH01,1,2003,1988,15,6,0
CBH01,1,2003,1987,16,4,0
CBH01,1,2003,1986,17,1,0
CBH01,1,2003,1985,18,1,0
CBH01,1,2003,1984,19,2,0
CBH01,1,2003,1983,20,1,0
CBH01,1,2003,,,21,0
CBH01,1,2003,,,6,3
CBH01,1,2003,,,202,107
CBH01,1,2004,2004,0.5,29,28
CBH01,1,2004,2003,1,20,32
CBH01,1,2004,2002,2,15,6
CBH01,1,2004,2001,3,9,7
CBH01,1,2004,2000,4,16,5
CBH01,1,2004,1999,5,12,9
CBH01,1,2004,1998,6,14,2
CBH01,1,2004,1997,7,10,1
CBH01,1,2004,1996,8,5,0
CBH01,1,2004,1995,9,4,0
CBH01,1,2004,1994,10,4,0
CBH01,1,2004,1993,11,1,0
CBH01,1,2004,1992,12,1,0
CBH01,1,2004,1991,13,6,0
CBH01,1,2004,1990,14,4,0
CBH01,1,2004,1989,15,3,0
CBH01,1,2004,1988,16,5,0
CBH01,1,2004,,,21,0
CBH01,1,2004,,,5,3
CBH01,1,2004,,,184,93
CBH01,1,2005,2005,0.5,35,43
CBH01,1,2005,2004,1,15,11
CBH01,1,2005,2003,2,19,7
CBH01,1,2005,2002,3,15,5
CBH01,1,2005,2001,4,9,7
CBH01,1,2005,2000,5,16,6
CBH01,1,2005,1999,6,11,3
CBH01,1,2005,1998,7,13,1
CBH01,1,2005,1997,8,9,1
CBH01,1,2005,1996,9,5,0
CBH01,1,2005,1995,10,4,0
CBH01,1,2005,1994,11,4,0
CBH01,1,2005,1993,12,1,0
CBH01,1,2005,1992,13,1,0
CBH01,1,2005,1991,14,6,0
CBH01,1,2005,1990,15,4,0
CBH01,1,2005,1989,16,2,0
CBH01,1,2005,1988,17,5,0
CBH01,1,2005,,,19,0
CBH01,1,2005,,,3,0
CBH01,1,2005,,,196,84
CBH01,1,2006,2006,0.5,48,62
CBH01,1,2006,2005,1,18,11
CBH01,1,2006,2004,2,15,6
CBH01,1,2006,2003,3,17,8
CBH01,1,2006,2002,4,14,4
CBH01,1,2006,2001,5,8,7
CBH01,1,2006,2000,6,16,5
CBH01,1,2006,1999,7,10,0
CBH01,1,2006,1998,8,12,0
CBH01,1,2006,1997,9,8,0
CBH01,1,2006,1996,10,3,0
CBH01,1,2006,1995,11,4,0
CBH01,1,2006,1994,12,3,0
CBH01,1,2006,1993,13,1,0
CBH01,1,2006,1992,14,0,0
CBH01,1,2006,1991,15,4,0
CBH01,1,2006,1990,16,2,0
CBH01,1,2006,1989,17,1,0
CBH01,1,2006,1988,18,3,0
CBH01,1,2006,,,13,0
CBH01,1,2006,,,3,0
CBH01,1,2006,,,203,103
CBH01,1,2007,2007,0.5,62,51
CBH01,1,2007,2006,1,24,21
CBH01,1,2007,2005,2,18,6
CBH01,1,2007,2004,3,12,6
CBH01,1,2007,2003,4,15,8
CBH01,1,2007,2002,5,14,3
CBH01,1,2007,2001,6,7,6
CBH01,1,2007,2000,7,14,0
CBH01,1,2007,1999,8,9,0
CBH01,1,2007,1998,9,11,0
CBH01,1,2007,1997,10,7,0
CBH01,1,2007,1996,11,3,0
CBH01,1,2007,1995,12,3,0
CBH01,1,2007,1994,13,3,0
CBH01,1,2007,1993,14,1,0
CBH01,1,2007,1992,15,0,0
CBH01,1,2007,1991,16,1,0
CBH01,1,2007,1990,17,0,0
CBH01,1,2007,1989,18,1,0
CBH01,1,2007,1988,19,3,0
CBH01,1,2007,,,11,0
CBH01,1,2007,,,1,0
CBH01,1,2007,,,220,101
CBH01,1,2008,2008,0.5,43,36
CBH01,1,2008,2007,1,38,32
CBH01,1,2008,2006,2,17,10
CBH01,1,2008,2005,3,18,6
CBH01,1,2008,2004,4,12,6
CBH01,1,2008,2003,5,15,8
CBH01,1,2008,2002,6,14,0
CBH01,1,2008,2001,7,7,0
CBH01,1,2008,2000,8,13,0
CBH01,1,2008,1999,9,9,0
CBH01,1,2008,1998,10,11,0
CBH01,1,2008,1997,11,6,0
CBH01,1,2008,1996,12,3,0
CBH01,1,2008,1995,13,3,0
CBH01,1,2008,1994,14,1,0
CBH01,1,2008,,,4,0
CBH01,1,2008,,,1,0
CBH01,1,2008,,,215,98
CBH01,1,2009,2009,0.5,39,41
CBH01,1,2009,2008,1,24,19
CBH01,1,2009,2007,2,14,7
CBH01,1,2009,2006,3,14,9
CBH01,1,2009,2005,4,15,6
CBH01,1,2009,2004,5,11,5
CBH01,1,2009,2003,6,15,5
CBH01,1,2009,2002,7,12,0
CBH01,1,2009,2001,8,5,0
CBH01,1,2009,2000,9,10,0
CBH01,1,2009,1999,10,7,0
CBH01,1,2009,1998,11,9,0
CBH01,1,2009,1997,12,5,0
CBH01,1,2009,1996,13,2,0
CBH01,1,2009,1995,14,2,0
CBH01,1,2009,1994,15,1,0
CBH01,1,2009,,,3,0
CBH01,1,2009,,,188,92
CBH01,1,2010,2010,0.5,40,36
CBH01,1,2010,2009,1,24,21
CBH01,1,2010,2008,2,12,6
CBH01,1,2010,2007,3,13,7
CBH01,1,2010,2006,4,13,8
CBH01,1,2010,2005,5,13,5
CBH01,1,2010,2004,6,10,5
CBH01,1,2010,2003,7,12,0
CBH01,1,2010,2002,8,12,0
CBH01,1,2010,2001,9,5,0
CBH01,1,2010,2000,10,10,0
CBH01,1,2010,1999,11,6,0
CBH01,1,2010,1998,12,9,0
CBH01,1,2010,1997,13,5,0
CBH01,1,2010,1996,14,2,0
CBH01,1,2010,1995,15,1,0
CBH01,1,2010,1994,16,1,0
CBH01,1,2010,,,3,0
CBH01,1,2010,,,191,88
CBH01,1,2011,2011,0.5,38,28
CBH01,1,2011,2010,1,25,24
CBH01,1,2011,2009,2,15,9
CBH01,1,2011,2008,3,12,6
CBH01,1,2011,2007,4,11,7
CBH01,1,2011,2006,5,12,8
CBH01,1,2011,2005,6,13,5
CBH01,1,2011,2004,7,10,1
CBH01,1,2011,2003,8,12,0
CBH01,1,2011,2002,9,12,0
CBH01,1,2011,2001,10,4,0
CBH01,1,2011,2000,11,10,0
CBH01,1,2011,1999,12,5,0
CBH01,1,2011,1998,13,8,0
CBH01,1,2011,1997,14,5,0
CBH01,1,2011,,,192,88
CBH01,1,2012,2012,0.5,37,41
CBH01,1,2012,2011,1,23,18
CBH01,1,2012,2010,2,15,9
CBH01,1,2012,2009,3,14,8
CBH01,1,2012,2008,4,10,6
CBH01,1,2012,2007,5,10,7
CBH01,1,2012,2006,6,12,8
CBH01,1,2012,2005,7,13,2
CBH01,1,2012,2004,8,10,1
CBH01,1,2012,2003,9,12,0
CBH01,1,2012,2002,10,12,0
CBH01,1,2012,2001,11,4,0
CBH01,1,2012,2000,12,9,0
CBH01,1,2012,1999,13,5,0
CBH01,1,2012,1998,14,4,0
CBH01,1,2012,1997,15,5,0
CBH01,1,2012,,,190,100
CBH01,1,2013,2013,0.5,53,53
CBH01,1,2013,2012,1,25,22
CBH01,1,2013,2011,2,18,7
CBH01,1,2013,2010,3,15,9
CBH01,1,2013,2009,4,13,8
CBH01,1,2013,2008,5,10,6
CBH01,1,2013,2007,6,8,6
CBH01,1,2013,2006,7,11,1
CBH01,1,2013,2005,8,10,1
CBH01,1,2013,2004,9,8,1
CBH01,1,2013,2003,10,11,0
CBH01,1,2013,2002,11,11,0
CBH01,1,2013,2001,12,4,0
CBH01,1,2013,2000,13,6,0
CBH01,1,2013,1999,14,4,0
CBH01,1,2013,1998,15,2,0
CBH01,1,2013,1997,16,3,0
CBH01,1,2014,2014,0.5,40,34
CBH01,1,2014,2013,1,28,24
CBH01,1,2014,2012,2,16,9
CBH01,1,2014,2011,3,18,7
CBH01,1,2014,2010,4,14,9
CBH01,1,2014,2009,5,12,8
CBH01,1,2014,2008,6,8,6
CBH01,1,2014,2007,7,8,0
CBH01,1,2014,2006,8,11,0
CBH01,1,2014,2005,9,10,0
CBH01,1,2014,2004,10,5,0
CBH01,1,2014,2003,11,9,0
CBH01,1,2014,2002,12,9,0
CBH01,1,2014,2001,13,4,0
CBH01,1,2014,2000,14,5,0
CBH01,1,2014,1999,15,2,0
CBH01,1,2014,1998,16,1,0
CBH01,1,2014,1997,17,3,0
CBH01,1,2015,2015,0.5,37,30
CBH01,1,2015,2014,1,27,7
CBH01,1,2015,2013,2,18,6
CBH01,1,2015,2012,3,15,7
CBH01,1,2015,2011,4,16,6
CBH01,1,2015,2010,5,13,6
CBH01,1,2015,2009,6,12,5
CBH01,1,2015,2008,7,8,1
CBH01,1,2015,2007,8,7,0
CBH01,1,2015,2006,9,11,0
CBH01,1,2015,2005,10,8,0
CBH01,1,2015,2004,11,5,0
CBH01,1,2015,2003,12,9,0
CBH01,1,2015,2002,13,9,0
CBH01,1,2015,2001,14,2,0
CBH01,1,2015,2000,15,3,0
CBH01,1,2015,1999,16,1,0
CBH01,1,2015,1998,17,1,0
CBH01,1,2015,1997,18,1,0
CBH01,1,2016,2016,0.5,49,45
CBH01,1,2016,2015,1,20,8
CBH01,1,2016,2014,2,15,5
CBH01,1,2016,2013,3,14,5
CBH01,1,2016,2012,4,14,5
CBH01,1,2016,2011,5,15,6
CBH01,1,2016,2010,6,12,5
CBH01,1,2016,2009,7,12,2
CBH01,1,2016,2008,8,8,0
CBH01,1,2016,2007,9,6,0
CBH01,1,2016,2006,10,10,0
CBH01,1,2016,2005,11,8,0
CBH01,1,2016,2004,12,5,0
CBH01,1,2016,2003,13,7,0
CBH01,1,2016,2002,14,9,0
CBH01,1,2016,2001,15,1,0
CBH01,1,2016,2000,16,1,0
CBH01,1,2017,2017,0.5,43,47
CBH01,1,2017,2016,1,26,6
CBH01,1,2017,2015,2,13,7
CBH01,1,2017,2014,3,15,5
CBH01,1,2017,2013,4,13,5
CBH01,1,2017,2012,5,14,5
CBH01,1,2017,2011,6,15,5
CBH01,1,2017,2010,7,10,0
CBH01,1,2017,2009,8,11,0
CBH01,1,2017,2008,9,8,0
CBH01,1,2017,2007,10,5,0
CBH01,1,2017,2006,11,9,0
CBH01,1,2017,2005,12,7,0
CBH01,1,2017,2004,13,4,0
CBH01,1,2017,2003,14,5,0
CBH01,1,2017,2002,15,5,0
CBH01,1,2017,2001,16,1,0
CBH01,1,2018,2018,0.5,48,42
CBH01,1,2018,2017,1,24,6
CBH01,1,2018,2016,2,16,6
CBH01,1,2018,2015,3,13,7
CBH01,1,2018,2014,4,15,5
CBH01,1,2018,2013,5,11,5
CBH01,1,2018,2012,6,13,5
CBH01,1,2018,2011,7,14,1
CBH01,1,2018,2010,8,10,0
CBH01,1,2018,2009,9,11,0
CBH01,1,2018,2008,10,8,0
CBH01,1,2018,2007,11,4,0
CBH01,1,2018,2006,12,8,0
CBH01,1,2018,2005,13,7,0
CBH01,1,2018,2004,14,3,0
CBH01,1,2018,2003,15,3,0
CBH01,1,2018,2001,17,1,0
CBH01,1,2019,2019,0.5,54,49
CBH01,1,2019,2018,1,22,6
CBH01,1,2019,2017,2,15,6
CBH01,1,2019,2016,3,16,6
CBH01,1,2019,2015,4,11,5
CBH01,1,2019,2014,5,14,5
CBH01,1,2019,2013,6,9,5
CBH01,1,2019,2012,7,13,0
CBH01,1,2019,2011,8,13,0
CBH01,1,2019,2010,9,9,0
CBH01,1,2019,2009,10,10,0
CBH01,1,2019,2008,11,7,0
CBH01,1,2019,2007,12,4,0
CBH01,1,2019,2006,13,6,0
CBH01,1,2019,2005,14,3,0
CBH01,1,2019,2004,15,2,0
CBH01,1,2019,2003,16,2,0
CBH01,1,2020,2020,0.5,43,40
CBH01,1,2020,2019,1,26,6
CBH01,1,2020,2018,2,20,6
CBH01,1,2020,2017,3,19,6
CBH01,1,2020,2016,4,14,5
CBH01,1,2020,2015,5,11,5
CBH01,1,2020,2014,6,13,4
CBH01,1,2020,2013,7,8,0
CBH01,1,2020,2012,8,12,0
CBH01,1,2020,2011,9,13,0
CBH01,1,2020,2010,10,8,0
CBH01,1,2020,2009,11,8,0
CBH01,1,2020,2008,12,5,0
CBH01,1,2020,2007,13,4,0
CBH01,1,2020,2006,14,6,0
CBH01,1,2020,2005,15,2,0
CBH01,1,2020,2003,17,2,0
CBH01,1,2021,2021,0.5,43,52
CBH01,1,2021,2020,1,20,6
CBH01,1,2021,2019,2,15,6
CBH01,1,2021,2018,3,20,5
CBH01,1,2021,2017,4,13,5
CBH01,1,2021,2016,5,12,5
CBH01,1,2021,2015,6,11,4
CBH01,1,2021,2014,7,9,0
CBH01,1,2021,2013,8,8,0
CBH01,1,2021,2012,9,9,0
CBH01,1,2021,2011,10,8,0
CBH01,1,2021,2010,11,6,0
CBH01,1,2021,2009,12,5,0
CBH01,1,2021,2008,13,4,0
CBH01,1,2021,2007,14,3,0
CBH01,1,2021,2006,15,3,0
CBH01,1,2021,2003,18,1,0
CBH01,1,2022,2022,0.5,35,28
CBH01,1,2022,2021,1,22,5
CBH01,1,2022,2020,2,14,5
CBH01,1,2022,2019,3,15,6
CBH01,1,2022,2018,4,17,5
CBH01,1,2022,2017,5,12,5
CBH01,1,2022,2016,6,11,4
CBH01,1,2022,2015,7,11,0
CBH01,1,2022,2014,8,9,0
CBH01,1,2022,2013,9,7,0
CBH01,1,2022,2012,10,7,0
CBH01,1,2022,2011,11,7,0
CBH01,1,2022,2010,12,5,0
CBH01,1,2022,2009,13,4,0
CBH01,1,2022,2008,14,1,0
CBH01,1,2022,2007,15,2,0
CBH01,1,2022,2006,18,1,0
CBH01,1,2022,2003,19,1,0
CBH01,1,2023,2023,0.5,31,17
CBH01,1,2023,2022,1,22,6
CBH01,1,2023,2021,2,15,5
CBH01,1,2023,2020,3,14,5
CBH01,1,2023,2019,4,13,6
CBH01,1,2023,2018,5,16,5
CBH01,1,2023,2017,6,12,4
CBH01,1,2023,2016,7,7,0
CBH01,1,2023,2015,8,9,0
CBH01,1,2023,2014,9,8,0
CBH01,1,2023,2013,10,7,0
CBH01,1,2023,2012,11,6,0
CBH01,1,2023,2011,12,6,0
CBH01,1,2023,2010,13,4,0
CBH01,1,2023,2009,14,1,0
CBH01,1,2024,2024,0.5,31,30
CBH01,1,2024,2023,1,20,5
CBH01,1,2024,2022,2,16,5
CBH01,1,2024,2021,3,15,5
CBH01,1,2024,2020,4,13,5
CBH01,1,2024,2019,5,7,5
CBH01,1,2024,2018,6,14,5
CBH01,1,2024,2017,7,10,0
CBH01,1,2024,2016,8,4,0
CBH01,1,2024,2015,9,8,0
CBH01,1,2024,2014,10,7,0
CBH01,1,2024,2013,11,4,0
CBH01,1,2024,2012,12,6,0
CBH01,1,2024,2011,13,3,0
CBH01,1,2024,2010,14,2,0
CBH01,1,2025,2025,0.5,18,26
CBH01,1,2025,2024,1,21,6
CBH01,1,2025,2023,2,19,5
CBH01,1,2025,2022,3,16,5
CBH01,1,2025,2021,4,14,5
CBH01,1,2025,2020,5,12,5
CBH01,1,2025,2019,6,5,5
CBH01,1,2025,2018,7,11,0
CBH01,1,2025,2017,8,8,0
CBH01,1,2025,2016,9,4,0
CBH01,1,2025,2015,10,6,0
CBH01,1,2025,2014,11,4,0
CBH01,1,2025,2013,12,2,0
CBH01,1,2025,2012,13,3,0
CBH01,1,2025,2011,14,3,0
CBH01,1,2025,2010,15,2,0
