DataCode,RecType,RecYear,CalfTag,DamTag
CBH01,3,1999,W-939,W-005
CBH01,3,1999,W-942,W-541
CBH01,3,1999,W-959,W-539
CBH01,3,1999,W-962,B-801
CBH01,3,1999,W-963,B-911
CBH01,3,1999,W-966,B-705
CBH01,3,2000,Y-001,W-765
CBH01,3,2000,Y-008,A7
CBH01,3,2000,Y-020,W-006
CBH01,3,2000,Y-023,A20
CBH01,3,2000,Y-026,W-645
CBH01,3,2000,Y-027,W-103
CBH01,3,2000,Y-036,W-105
CBH01,3,2000,Y-044,W-514
CBH01,3,2000,Y-045,W-738
CBH01,3,2000,Y-048,A22
CBH01,3,2000,Y-049,B-802
CBH01,3,2000,Y-061,B-904
CBH01,3,2001,Y-105,W-444
CBH01,3,2001,Y-116,W-104
CBH01,3,2001,Y-117,W-753
CBH01,3,2001,Y-118,W-871
CBH01,3,2001,Y-119,A11
CBH01,3,2001,Y-130,W-763
CBH01,3,2001,Y-138,B-910
CBH01,3,2001,Y-139,W-107
CBH01,3,2001,Y-158,B2
CBH01,3,2001,Y-160,B16
CBH01,3,2001,Y-166,B-704
CBH01,3,2002,Y-214,W-840
CBH01,3,2002,Y-215,W-918
CBH01,3,2002,Y-217,W-831
CBH01,3,2002,Y-232,W-444
CBH01,3,2002,Y-233,B-907
CBH01,3,2002,Y-238,W-104
CBH01,3,2002,Y-241,A7
CBH01,3,2002,Y-243,W-872
CBH01,3,2002,Y-245,W-942
CBH01,3,2002,Y-246,B-803
CBH01,3,2002,Y-248,A6
CBH01,3,2002,Y-257,W-305
CBH01,3,2002,Y-258,W-741
CBH01,3,2002,Y-264,W-939
CBH01,3,2002,Y-269,W-006
CBH01,3,2002,Y-270,B-402
CBH01,3,2002,Y-274,W-514
CBH01,3,2003,Y-305,W-654
CBH01,3,2003,Y-309,B-901
CBH01,3,2003,Y-310,Y-071
CBH01,3,2003,Y-316,B-806
CBH01,3,2003,Y-319,W-867
CBH01,3,2003,Y-322,B-910
CBH01,3,2003,Y-324,Y-044
CBH01,3,2003,Y-327,Y-048
CBH01,3,2003,Y-331,Y-008
CBH01,3,2003,Y-334,W-871
CBH01,3,2003,Y-337,W-103
CBH01,3,2003,Y-338,Y-074
CBH01,3,2003,Y-339,W-942
CBH01,3,2003,Y-355,W-765
CBH01,3,2003,Y-358,W-432
CBH01,3,2003,Y-360,W-645
CBH01,3,2003,Y-368,W-651
CBH01,3,2003,Y-377,W-630
CBH01,3,2003,Y-384,A22
CBH01,3,2003,Y-389,W-743
CBH01,3,2003,Y-393,W-763
CBH01,3,2004,Y-401,B7
CBH01,3,2004,Y-402,Y-066
CBH01,3,2004,Y-403,W-738
CBH01,3,2004,Y-404,W-975
CBH01,3,2004,Y-405,Y-075
CBH01,3,2004,Y-406,A3
CBH01,3,2004,Y-407,A25
CBH01,3,2004,Y-408,Y-071
CBH01,3,2004,Y-409,W-106
CBH01,3,2004,Y-410,W-948
CBH01,3,2004,Y-411,W-105
CBH01,3,2004,Y-412,A9
CBH01,3,2004,Y-413,W-702
CBH01,3,2004,Y-414,W-962
CBH01,3,2004,Y-415,A18
CBH01,3,2004,Y-416,W-210
CBH01,3,2004,Y-417,W-654
CBH01,3,2004,Y-418,A14
CBH01,3,2004,Y-419,B-705
CBH01,3,2004,Y-420,W-765
CBH01,3,2004,Y-421,W-705
CBH01,3,2004,Y-422,W-734
CBH01,3,2004,Y-423,W-966
CBH01,3,2004,Y-424,Y-139
CBH01,3,2004,Y-425,W-939
CBH01,3,2004,Y-426,W-838
CBH01,3,2004,Y-427,W-837
CBH01,3,2004,Y-428,Y-103
CBH01,3,2004,Y-429,W-868
CBH01,3,2004,Y-431,B-803
CBH01,3,2004,Y-432,A12
CBH01,3,2004,Y-433,W-309
CBH01,3,2004,Y-434,Y-061
CBH01,3,2004,Y-435,A2
CBH01,3,2004,Y-436,Y-118
CBH01,3,2004,Y-437,W-871
CBH01,3,2004,Y-438,W-831
CBH01,3,2004,Y-439,W-872
CBH01,3,2004,Y-440,W-959
CBH01,3,2004,Y-441,A8
CBH01,3,2004,Y-442,Y-132
CBH01,3,2004,Y-443,A16
CBH01,3,2004,Y-444,W-645
CBH01,3,2004,Y-445,W-867
CBH01,3,2004,Y-446,A26
CBH01,3,2004,Y-447,W-801
CBH01,3,2004,Y-448,W-804
CBH01,3,2004,Y-449,B-601
CBH01,3,2004,Y-450,W-108
CBH01,3,2004,Y-451,W-430
CBH01,3,2004,Y-452,Y-116
CBH01,3,2004,Y-453,W-103
CBH01,3,2004,Y-454,W-514
CBH01,3,2004,Y-455,W-630
CBH01,3,2004,Y-456,W-737
CBH01,3,2004,Y-457,W-005
CBH01,3,2005,Y-501,B-907
CBH01,3,2005,Y-507,Y-036
CBH01,3,2005,Y-520,A6
CBH01,3,2005,Y-523,Y-214
CBH01,3,2005,Y-527,Y-001
CBH01,3,2005,Y-528,W-210
CBH01,3,2005,Y-529,W-947
CBH01,3,2005,Y-530,W-963
CBH01,3,2005,Y-531,B-806
CBH01,3,2005,Y-539,Y-166
CBH01,3,2005,Y-547,Y-027
CBH01,3,2005,Y-556,Y-071
CBH01,3,2005,Y-558,A18
CBH01,3,2005,Y-562,Y-074
CBH01,3,2005,Y-566,W-004
CBH01,3,2005,Y-567,W-444
CBH01,3,2005,Y-573,Y-045
CBH01,3,2005,Y-575,A22
CBH01,3,2006,Y-605,A18
CBH01,3,2006,Y-6008,A12
CBH01,3,2006,Y-615,Y-248
CBH01,3,2006,Y-618,W-764
CBH01,3,2006,Y-627,W-939
CBH01,3,2006,Y-630,W-837
CBH01,3,2006,Y-635,W-870
CBH01,3,2006,Y-641,Y-360
CBH01,3,2006,Y-650,W-108
CBH01,3,2006,Y-654,Y-026
CBH01,3,2006,Y-667,Y-269
CBH01,3,2006,Y-674,W-871
CBH01,3,2006,Y-678,W-444
CBH01,3,2006,Y-685,Y-324
CBH01,3,2006,Y-688,Y-389
CBH01,3,2007,Y-701,Y-556
CBH01,3,2007,Y-702,Y-410
CBH01,3,2007,Y-703,Y-214
CBH01,3,2007,Y-704,Y-071
CBH01,3,2007,Y-705,Y-161
CBH01,3,2007,Y-706,Y-423
CBH01,3,2007,Y-707,A18
CBH01,3,2007,Y-708,Y-217
CBH01,3,2007,Y-709,Y-405
CBH01,3,2007,Y-710,Y-360
CBH01,3,2007,Y-711,Y-241
CBH01,3,2007,Y-712,Y-269
CBH01,3,2007,Y-713,Y-166
CBH01,3,2007,Y-714,W-871
CBH01,3,2007,Y-715,W-975
CBH01,3,2007,Y-716,W-645
CBH01,3,2007,Y-717,W-837
CBH01,3,2007,Y-718,W-838
CBH01,3,2007,Y-719,Y-158
CBH01,3,2007,Y-720,Y-116
CBH01,3,2007,Y-721,Y-072
CBH01,3,2007,Y-722,W-428
CBH01,3,2007,Y-723,W-840
CBH01,3,2007,Y-724,Y-044
CBH01,3,2007,Y-725,Y-248
CBH01,3,2007,Y-726,Y-048
CBH01,3,2007,Y-727,Y-358
CBH01,3,2007,Y-728,Y-139
CBH01,3,2007,Y-729,B12
CBH01,3,2007,Y-730,W-939
CBH01,3,2007,Y-731,Y-328
CBH01,3,2007,Y-732,A11
CBH01,3,2007,Y-733,A15
CBH01,3,2007,Y-734,A7
CBH01,3,2007,Y-735,Y-449
CBH01,3,2007,Y-736,Y-409
CBH01,3,2007,Y-738,W-976
CBH01,3,2007,Y-739,Y-274
CBH01,3,2007,Y-740,Y-527
CBH01,3,2007,Y-741,W-870
CBH01,3,2007,Y-742,Y-324
